# CREPDL inline ISO/IEC 10646 collections
# Format: number|name|codepoints (semicolon-separated lines: "start,end" or "single")
156|MEETEI MAYEK|43968,44031
157|MANDAIC|2112,2143
158|BATAK|7104,7167
159|ETHIOPIC EXTENDED-A|43776,43823
160|ARABIC EXTENDED-A|2208,2303
161|SUNDANESE SUPPLEMENT|7360,7375
163|COMBINING DIACRITICAL MARKS EXTENDED|6832,6911
164|MYANMAR EXTENDED-B|43488,43519
165|LATIN EXTENDED-E|43824,43887
166|CHEROKEE SUPPLEMENT|43888,43967
167|CYRILLIC EXTENDED-C|7296,7311
168|SYRIAC SUPPLEMENT|2144,2159
169|GEORGIAN EXTENDED|7312,7359
1001|OLD ITALIC|66304,66351
1002|GOTHIC|66352,66383
1003|DESERET|66560,66639
1004|BYZANTINE MUSICAL SYMBOLS|118784,119039
1005|MUSICAL SYMBOLS|119040,119295
1006|MATHEMATICAL ALPHANUMERIC SYMBOLS|119808,120831
1007|LINEAR B SYLLABARY|65536,65663
1008|LINEAR B IDEOGRAMS|65664,65791
1009|AEGEAN NUMBERS|65792,65855
1010|UGARITIC|66432,66463
1011|SHAVIAN|66640,66687
1012|OSMANYA|66688,66735
1013|CYPRIOT SYLLABARY|67584,67647
1014|TAI XUAN JING SYMBOLS|119552,119647
1015|ANCIENT GREEK NUMBERS|65856,65935
1016|OLD PERSIAN|66464,66527
1017|KHAROSHTHI|68096,68191
1018|ANCIENT GREEK MUSICAL NOTATION|119296,119375
1019|PHOENICIAN|67840,67871
1020|CUNEIFORM|73728,74751
1021|CUNEIFORM NUMBERS AND PUNCTUATION|74752,74879
1022|COUNTING ROD NUMERALS|119648,119679
1023|PHAISTOS DISC|66000,66047
1024|LYCIAN|66176,66207
1025|CARIAN|66208,66271
1026|LYDIAN|67872,67903
1027|ANCIENT SYMBOLS|65936,65999
1028|MAHJONG TILES|126976,127023
1029|DOMINO TILES|127024,127135
1030|AVESTAN|68352,68415
1031|EGYPTIAN HIEROGLYPHS|77824,78895
1032|IMPERIAL ARAMAIC|67648,67679
1033|OLD SOUTH ARABIAN|68192,68223
1034|INSCRIPTIONAL PARTHIAN|68416,68447
1035|INSCRIPTIONAL PAHLAVI|68448,68479
1036|OLD TURKIC|68608,68687
1037|RUMI NUMERAL SYMBOLS|69216,69247
1038|KAITHI|69760,69839
1039|ENCLOSED ALPHANUMERIC SUPPLEMENT|127232,127487
1040|ENCLOSED IDEOGRAPHIC SUPPLEMENT|127488,127743
1041|BRAHMI|69632,69759
1042|KANA SUPPLEMENT|110592,110847
1043|BAMUM SUPPLEMENT|92160,92735
1044|PLAYING CARDS|127136,127231
1045|MISCELLANEOUS SYMBOLS AND PICTOGRAPHS|127744,128511
1046|EMOTICONS|128512,128591
1047|TRANSPORT AND MAP SYMBOLS|128640,128767
1048|ALCHEMICAL SYMBOLS|128768,128895
1049|MEROITIC HIEROGLYPHS|67968,67999
1050|MEROITIC CURSIVE|68000,68095
1051|SORA SOMPENG|69840,69887
1052|CHAKMA|69888,69967
1053|SHARADA|70016,70111
1054|TAKRI|71296,71375
1055|MIAO|93952,94111
1056|ARABIC MATHEMATICAL ALPHABETIC SYMBOLS|126464,126719
1057|COPTIC EPACT NUMBERS|66272,66303
1058|ELBASAN|66816,66863
1059|LINEAR A|67072,67455
1060|PALMYRENE|67680,67711
1061|NABATAEAN|67712,67759
1062|OLD NORTH ARABIAN|68224,68255
1063|MANICHAEAN|68288,68351
1064|SINHALA ARCHAIC NUMBERS|70112,70143
1065|KHOJKI|70144,70223
1066|KHUDAWADI|70320,70399
1067|TIRHUTA|70784,70879
1068|PAU CIN HAU|72384,72447
1069|MRO|92736,92783
1070|BASSA VAH|92880,92927
1071|DUPLOYAN|113664,113823
1072|SHORTHAND FORMAT CONTROLS|113824,113839
1073|ORNAMENTAL DINGBATS|128592,128639
1074|GEOMETRIC SHAPES EXTENDED|128896,129023
1075|SUPPLEMENTAL ARROWS-C|129024,129279
1076|OLD PERMIC|66384,66431
1077|CAUCASIAN ALBANIAN|66864,66927
1078|PSALTER PAHLAVI|68480,68527
1079|MAHAJANI|69968,70015
1080|GRANTHA|70400,70527
1081|SIDDHAM|71040,71167
1082|MODI|71168,71263
1083|WARANG CITI|71840,71935
1084|PAHAWH HMONG|92928,93071
1085|MENDE KIKAKUI|124928,125151
1086|HATRAN|67808,67839
1087|OLD HUNGARIAN|68736,68863
1088|MULTANI|70272,70319
1089|AHOM|71424,71487
